Company,Table,Machine_1,Machine_2,Machine_3
WEFORMA Dämpfungstechnik GmbH,Aktiva,2709039,2303563,
CEFEG GmbH Federn-,Aktiva,3829930,4797655,
Bischoff Federnwerk,AKTIVA,4537527,4922702,
Schomäcker Federnwerk GmbH,A K T I V A,481068,760,
Federnwerke J.P. Grueber GmbH & Co. KG,AKTIVA,2447614,2876548,
HAHN-Gasfedern GmbH,Aktiva,1815088,1931010,
thema-Form- & Federntechnologie,AKTIVA,2183447,2070936,
Pieron GmbH,Aktiva,4210039,5273770,
Bansbach easylift GmbH,AKTIVSEITE,1722606,1762329,
SOGEFI PC SUSPENSIONS Germany GmbH,AKTIVA,571153,665770,
Kurt Kauffmann technische Federn GmbH,Aktiva,1153976,725195,
Federnfabrik Dietz GmbH,Aktiva,1340184,11111,
Stumpp & Schüle GmbH,Aktiva,1168718,1125629,
BREMA-WERK GmbH & Co. KG,Aktiva,742985,767210,
S & P Federnwerk GmbH & Co. KG,Aktiva,1234343,1549473,
Hans Ziller GmbH,AKTIVA,937440,,
Baumann GmbH,,6522822,7148662,
Ernst W. Velleuer GmbH & Co. KG,AKTIVA,3441753,3124978,
