Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
KWL Blechverarbeitungs GmbH,https://www.kwl-blech.de/,Neuwied,3408476.0,120-200
Feinwerktechnik hago GmbH,https://www.hago-ft.de/de/index.php,Küssaberg,24182289.0,350-600
Hoedtke Kiel GmbH & Co. KG,https://hoedtke.de/,Kiel,1808720.0,80-120
Hoedtke GmbH & Co. KG,https://hoedtke.de/index-DE.html,Pinneberg,3598429.0,120-200
Karl Enghofer GmbH & Co. KG,https://www.enghofer.de/,Birkenfeld,4339583.0,120-200
Ernst Umformtechnik GmbH,https://www.ernst.de/,Oberkirch,10671362.0,350-600
Erich Grau GmbH,https://www.grau-stanzwerk.de/,Sersheim,2820269.0,120-200
Wilhelm Becker GmbH & Co. KG,https://wilhelm-becker.de/,Mettmann,3150464.0,120-200
Hennig GmbH,https://hennigworldwide.com/de/,Kirchheim bei München,162920.0,No Match
Hombach Wärmetechnik GmbH,https://www.hombach.de/,Rosenheim (Landkreis Altenkirchen),1191927.0,21-40
UFT Produktion GmbH,https://www.uft.de/,Heinsdorfergrund,4430606.0,120-200
EPflex Feinwerktechnik GmbH,https://www.epflex.com/,Dettingen an der Erms,4765355.0,120-200
WWS Metallformen GmbH,https://www.wws-metallformen.de/,Hatzenbühl,1846999.0,80-120
KUIPERS technologies GmbH,https://kuipers-technologies.de/,Meppen,3103168.0,120-200
Hadrian GmbH & Co. Metall- und,https://www.hadrian-wolgast.de/,Wolgast,2053112.0,80-120
Purkart Systemkomponenten GmbH,https://purkart.de/,Großrückerswalde,984127.0,21-40
Wieland Eucaro GmbH,https://www.wieland-eucaro.de/de/,Bremen,1327138.0,40-60
de Crignis Blechverarbeitung GmbH,https://www.de-crignis-gmbh.de/,Augsburg,3421841.0,120-200
Eirenschmalz Maschinenbaumechanik,https://www.eirenschmalz.de/,Schwabsoien,4925779.0,120-200
Ziegler GmbH,https://www.ziegler-harvesting.com/de/,Pöttmes,2418629.0,80-120
Ludwig Michl Apparate- Geräte-,http://www.l-m-w.de/,Waakirchen,574484.0,10-15
Teckentrup GmbH + Co. KG,https://www.teckentrup.de/,Herscheid,1144441.0,21-40
Ziegler GmbH,https://ziegler-gruppe.eu/,Bermatingen,2418629.0,80-120
R. Mannhardt GmbH,https://www.mannhardtgmbh.com/,Dauchingen,1922759.0,80-120
Stork GmbH & Co. KG,https://stork-online.de/,Harsewinkel OT Marienfeld,1417133.0,40-60
Scheideler GmbH & Co KG,https://www.scheideler-gmbh.de/,Borgentreich,4555007.0,120-200
Vosseler GmbH,https://vosseler-gruppe.de/,Aldingen,1425060.0,40-60
BVS-Blechtechnik GmbH,https://www.bvs-blechtechnik.de/,Böblingen,585191.0,10-15
RMIG GmbH,http://rmig.de,Raguhn-Jeßnitz,5526112.0,200-350
Rime GmbH,https://rime.de/de/,Riesa,3769545.0,120-200
KODA Stanz- und Biegetechnik GmbH,http://www.koda-gmbh.de/,Holzwickede,3278142.0,120-200
MVK Blech- und Metallverarbeitung,https://mvk-metall.de/,Heek,866411.0,15-20
Geyer Umformtechnik GmbH,http://www.geyer-ut.de,Berlin,3767475.0,120-200
Sturm Blechverarbeitung GmbH,https://www.sturm-blech.de,Salching,498070.0,10-15
